"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007567","parturition","1/8","11/13370",0.0909090909090909,151.931818181818,12.25318224204,0.00656469156738682,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0030011","maintenance of cell polarity","1/8","13/13370",0.0769230769230769,128.557692307692,11.2585533018905,0.00775421175687452,0.154336096487219,0.114160412764372,"ANK1",1
"GO:0046348","amino sugar catabolic process","1/8","13/13370",0.0769230769230769,128.557692307692,11.2585533018905,0.00775421175687452,0.154336096487219,0.114160412764372,"CHI3L2",1
"GO:0045907","positive regulation of vasoconstriction","1/8","19/13370",0.0526315789473684,87.9605263157895,9.28112845501314,0.0113152980645915,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0006026","aminoglycan catabolic process","1/8","22/13370",0.0454545454545455,75.9659090909091,8.61044852498452,0.0130916438690736,0.154336096487219,0.114160412764372,"CHI3L2",1
"GO:1901071","glucosamine-containing compound metabolic process","1/8","24/13370",0.0416666666666667,69.6354166666667,8.23449663739998,0.0142743223922447,0.154336096487219,0.114160412764372,"CHI3L2",1
"GO:0045777","positive regulation of blood pressure","1/8","27/13370",0.037037037037037,61.8981481481481,7.75028988666632,0.0160460149470982,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0001990","regulation of systemic arterial blood pressure by hormone","1/8","31/13370",0.032258064516129,53.9112903225806,7.21649449507678,0.0184039371097947,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0007595","lactation","1/8","36/13370",0.0277777777777778,46.4236111111111,6.6774616653241,0.0213443860521804,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0003044","regulation of systemic arterial blood pressure mediated by a chemical signal","1/8","37/13370",0.027027027027027,45.1689189189189,6.58282657128012,0.0219315500623487,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0006040","amino sugar metabolic process","1/8","40/13370",0.025,41.78125,6.32024881291806,0.023691193034868,0.154336096487219,0.114160412764372,"CHI3L2",1
"GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","1/8","47/13370",0.0212765957446809,35.5585106382979,5.80713141171555,0.0277862582534514,0.154336096487219,0.114160412764372,"ANK1",1
"GO:0035088","establishment or maintenance of apical/basal cell polarity","1/8","51/13370",0.0196078431372549,32.7696078431373,5.56185745400801,0.0301195410328083,0.154336096487219,0.114160412764372,"ANK1",1
"GO:0061245","establishment or maintenance of bipolar cell polarity","1/8","51/13370",0.0196078431372549,32.7696078431373,5.56185745400801,0.0301195410328083,0.154336096487219,0.114160412764372,"ANK1",1
"GO:0019229","regulation of vasoconstriction","1/8","53/13370",0.0188679245283019,31.5330188679245,5.44958213352126,0.0312843438825443,0.154336096487219,0.114160412764372,"OXTR",1
"GO:0051289","protein homotetramerization","1/8","59/13370",0.0169491525423729,28.3262711864407,5.14706626461474,0.0347714115157556,0.157133230609461,0.116229416667026,"KCNT1",1
"GO:0006022","aminoglycan metabolic process","1/8","62/13370",0.0161290322580645,26.9556451612903,5.01221853746675,0.0365108228863232,0.157133230609461,0.116229416667026,"CHI3L2",1
"GO:0042310","vasoconstriction","1/8","68/13370",0.0147058823529412,24.5772058823529,4.76921654513543,0.0399814193035566,0.157133230609461,0.116229416667026,"OXTR",1
"GO:0007589","body fluid secretion","1/8","72/13370",0.0138888888888889,23.2118055555556,4.62397703292514,0.0422890685741653,0.157133230609461,0.116229416667026,"OXTR",1
"GO:0050886","endocrine process","1/8","75/13370",0.0133333333333333,22.2833333333333,4.52256512239525,0.0440166188857717,0.157133230609461,0.116229416667026,"OXTR",1
"GO:0003073","regulation of systemic arterial blood pressure","1/8","76/13370",0.0131578947368421,21.9901315789474,4.49006720520265,0.0445918627405226,0.157133230609461,0.116229416667026,"OXTR",1
"GO:0120162","positive regulation of cold-induced thermogenesis","1/8","84/13370",0.0119047619047619,19.8958333333333,4.25076689952621,0.0491829207798121,0.163763879025872,0.121134021470062,"OXTR",1
