"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142611",84.6631346899471,-0.713291747409088,0.43304655680092,-1.64714794796764,0.0995276397427684,0.999853396577029
"ENSG00000149527",12.3630126526308,0.30018787778981,0.574706343691247,0.522332633152702,0.601438751819953,0.999853396577029
"ENSG00000272235",2.91117640143765,0.333763470783569,1.06441292901479,0.31356578042743,0.753850852852314,NA
"ENSG00000142606",2.75116593678049,0.432330905381986,1.02401098606896,0.422193620247814,0.672883697771116,NA
"ENSG00000048707",300.626189514929,-0.0456132198974406,0.247443335413803,-0.184338041762818,0.853748272234641,0.999853396577029
"ENSG00000280222",30.9627577477199,-0.0492990906708497,0.519836232666996,-0.0948358109205336,0.924445242046291,0.999853396577029
"ENSG00000197921",10.7550420610356,-0.361409833392192,0.767998684129474,-0.470586526853037,0.637936030850665,0.999853396577029
"ENSG00000189337",108.729652165536,0.291940590563145,0.32029511411377,0.911473755604797,0.362045807545818,0.999853396577029
"ENSG00000175147",8.62713000744471,-0.0894067885519653,0.607101186169852,-0.147268347663797,0.882920214946695,0.999853396577029
"ENSG00000272420",5.23747995906122,0.767214083759101,0.834914339407538,0.918913531061788,0.358140801864211,0.999853396577029
"ENSG00000130940",5.00466732227104,0.247424156924063,0.616632617613889,0.401250517498558,0.688235690831079,0.999853396577029
"ENSG00000163873",61.2938102293941,0.185590887205846,0.415280666581923,0.44690471322299,0.654943860771092,0.999853396577029
"ENSG00000117000",58.1424267820451,-0.462329429666275,0.496023540699723,-0.932071548487565,0.35129955055515,0.999853396577029
"ENSG00000116544",76.1992516691948,0.678186636345573,0.373031755419443,1.81803995636513,0.0690580260072173,0.940438722463378
"ENSG00000163877",46.129965205536,-0.573589557522543,0.388981932562351,-1.47459177279552,0.140322328113695,0.999853396577029
"ENSG00000228929",36.3271776382676,0.135969000434871,0.374409615246724,0.363155738789647,0.716488549084842,0.999853396577029
"ENSG00000154027",331.261802797774,0.568443106739757,0.355753490088436,1.59785672544899,0.110074866817234,0.999853396577029
"ENSG00000116675",186.561000899621,-0.508433738787548,0.547957857194438,-0.927870149340947,0.353474930329068,0.999853396577029
"ENSG00000213625",205.657137304978,-0.473595000043346,0.3544096754802,-1.33629252475023,0.181453678878568,0.999853396577029
"ENSG00000226084",87.3952649502981,0.298164393760844,0.299535787962892,0.99542160150086,0.319531256774803,0.999853396577029
"ENSG00000230728",6.0193192021722,-1.22287432382565,0.83585953868069,-1.46301413961946,0.143463509954637,0.999853396577029
"ENSG00000172260",147.663752576521,0.978997456548455,0.376950322964254,2.59715245459889,0.00940001925150828,0.59801090966719
"ENSG00000067334",249.932712176964,0.075326811890037,0.312336885111933,0.241171681862172,0.809422057797781,0.999853396577029
"ENSG00000232882",2.7135272165555,0.666896298091618,1.0020277687018,0.66554672327657,0.505700869491919,NA
"ENSG00000171502",13.8438312041179,0.82511489086015,0.62859956420105,1.31262402624932,0.189309669486354,0.999853396577029
"ENSG00000116157",21.3443424883115,-0.717107041283673,0.435751631795617,-1.64567838410304,0.099829991648464,0.999853396577029
"ENSG00000287870",7.81524364015182,0.091002783316279,0.674970194272122,0.13482489165972,0.892750324827186,0.999853396577029
"ENSG00000260464",4.81914034005498,-0.409141622080158,0.795627131875579,-0.514237895728448,0.60708567593611,0.999853396577029
"ENSG00000284652",6.87034058837921,-0.273479462272132,0.621137305909462,-0.440288257797857,0.659728344155969,0.999853396577029
"ENSG00000183298",38.3273950907677,0.116888740269509,0.391019214767886,0.298933494454732,0.764990790062943,0.999853396577029
"ENSG00000198162",282.227127408787,-0.143879362657857,0.215149607792131,-0.668740994391531,0.503660712266811,0.999853396577029
"ENSG00000173947",56.7468174056,-0.967146537803403,0.344824710068762,-2.80474835347659,0.00503558772120088,0.509823283035153
"ENSG00000134253",16.9603032061272,-0.389931873148584,0.464287509013514,-0.839850018746108,0.400992484450521,0.999853396577029
"ENSG00000261168",6.93193635470727,0.363095445792097,0.530134082232607,0.684912473959335,0.493399154076513,0.999853396577029
"ENSG00000155761",4.08376138825408,-1.42230393128761,0.880385396690461,-1.6155469373235,0.106192304347104,NA
"ENSG00000163155",32.3977195896571,-0.309856417038489,0.480844961897618,-0.644399841095691,0.519316187561926,0.999853396577029
"ENSG00000232499",11.3505162213185,-0.515366865542123,0.724536137696568,-0.711305949735741,0.476894665454499,0.999853396577029
"ENSG00000232995",4.65712655170367,-0.6555900907188,0.761320791918024,-0.86112201016755,0.389170847986815,0.999853396577029
"ENSG00000047410",311.007108569365,-0.325262629050599,0.357996317678744,-0.908564175071995,0.36358022415876,0.999853396577029
"ENSG00000233196",1.83814473636289,1.91553453112113,1.41429281905212,1.35441155135395,0.175605114338689,NA
"ENSG00000234975",55.474632572324,-0.224713902136863,0.33950838540925,-0.661880270986496,0.50804795663776,0.999853396577029
"ENSG00000179397",3.8158435447071,-0.74624209368796,0.707691558827907,-1.05447363951027,0.291666123150338,NA
"ENSG00000143199",4.39451415695269,1.05222184959952,0.805689905199004,1.30598862268186,0.191556426663583,NA
"ENSG00000007908",6.40076293887221,0.629933056659029,1.01290924062983,0.621904738737829,0.534004508979554,0.999853396577029
"ENSG00000116574",451.839188454643,-0.0440972020526411,0.372410867628351,-0.118410083823462,0.905742736254629,0.999853396577029
"ENSG00000116132",146.261662331998,-0.71925441447324,0.335678253163279,-2.14268993506524,0.0321380041051318,0.807437683639862
"ENSG00000220749",26.7284772791936,0.297729541766988,0.526467094219272,0.56552355320233,0.571717708595484,0.999853396577029
"ENSG00000181450",34.1886194885239,-0.19609115119337,0.326677382716977,-0.600259343216476,0.548333409868134,0.999853396577029
"ENSG00000162849",79.5409673864632,-0.228500293759235,0.410660647028655,-0.556421209123772,0.577922943323069,0.999853396577029
"ENSG00000271811",22.717161906457,-0.98161042126881,0.766360400134493,-1.28087309977987,0.200238242761397,0.999853396577029
"ENSG00000277007",2.87709737741022,0.588916621247878,1.11412302022936,0.528592094907654,0.597088445254854,NA
"ENSG00000152104",132.20898423544,0.200087669783423,0.30770429594433,0.65025959149957,0.515524554001332,0.999853396577029
"ENSG00000150681",3.03728110292557,-1.23003220068866,0.946197941714525,-1.29997344790227,0.193610069719492,NA
"ENSG00000092969",91.6444500676151,-0.165005343459947,0.455312088442813,-0.362400532839515,0.717052741374493,0.999853396577029
"ENSG00000162669",1.75549549748375,-0.076824662422858,1.14835794808998,-0.0668995782635874,0.946661648784938,NA
"ENSG00000116183",8.92508246410551,-0.969765288496286,0.79240698672566,-1.22382223370278,0.221019295005079,0.999853396577029
"ENSG00000225171",4.49153660865046,0.674603129091957,1.3421153898207,0.502641676124497,0.615216222372243,NA
"ENSG00000116903",21.3559769059337,-0.0772963933614664,0.3922093985449,-0.197079401075641,0.843765402856684,0.999853396577029
"ENSG00000035687",90.9869128155256,-0.446123437816696,0.41205876361365,-1.08266945691024,0.27895516565827,0.999853396577029
"ENSG00000180287",31.0606154241903,-0.137256324777274,0.523021534170384,-0.262429586183272,0.792990265272935,0.999853396577029
"ENSG00000286619",69.5500639433004,-0.816448521919092,1.0899317147522,-0.749082268979312,0.453807621266003,0.999853396577029
"ENSG00000198756",229.894977769699,0.148784484468732,0.292875171524193,0.50801330715206,0.611444010974568,0.999853396577029
"ENSG00000183780",39.6997150347833,0.847417820233607,0.451203915297166,1.87812603460121,0.0603639255608479,0.92083408956454
"ENSG00000143194",6.52755544492713,0.797077885685654,0.906876454449551,0.878926651778008,0.379441046862513,0.999853396577029
"ENSG00000273367",10.3630638023654,1.12293318424961,0.786369751209125,1.4279964132941,0.153292890887429,0.999853396577029
"ENSG00000185420",44.0178352517875,-0.537991918073422,0.476007195742868,-1.13021803637615,0.258384361569455,0.999853396577029
"ENSG00000273483",12.6638909517215,0.273006100251147,0.68739342625445,0.397161348688967,0.691248482451293,0.999853396577029
"ENSG00000143341",5.776322688931,1.02988200167604,1.02977806914428,1.00010092711708,0.317261667512409,0.999853396577029
"ENSG00000183114",74.2367421816541,0.23257274873957,0.464614985049842,0.500570916184765,0.616673135259077,0.999853396577029
"ENSG00000287283",16.3139358398963,0.348480151109633,0.80665349050224,0.432007243770385,0.66573614839961,0.999853396577029
"ENSG00000240692",5.19518442317574,0.119486350375824,1.13380090312214,0.105385654612547,0.916069798635713,0.999853396577029
"ENSG00000271992",4.02700959991287,0.607700469187955,0.928061483435205,0.65480626018285,0.512592499564205,NA
"ENSG00000243364",9.69868672846105,-0.852810405897121,0.513563694534785,-1.66057378076471,0.0967990784472365,0.999853396577029
"ENSG00000199562",13.8296163855972,0.887715800331058,0.843722070355549,1.05214244301677,0.292734201831731,0.999853396577029
"ENSG00000284735",22.2401915570157,-0.0105136539182933,0.594453604701119,-0.017686248069064,0.985889151384501,0.999853396577029
"ENSG00000284642",28.501851846041,-0.598182867073779,0.653887149309036,-0.91481055669297,0.360291091824558,0.999853396577029
"ENSG00000175279",5.88175039011903,0.40692791656555,0.812815333634311,0.500640058973874,0.616624464447744,0.999853396577029
"ENSG00000221643",7.69623874824775,-0.016076990081124,0.740949877860845,-0.021697810555741,0.98268901028619,0.999853396577029
"ENSG00000158156",75.3715983047436,-0.0464991274696581,0.303031081615262,-0.153446726394538,0.878045998834238,0.999853396577029
"ENSG00000281912",3.66634578474836,0.16883442349214,0.957712047910177,0.176289338596662,0.860066637432873,NA
"ENSG00000259865",7.16282319549211,0.62598779972812,0.608286080866809,1.0291009763631,0.30343222742047,0.999853396577029
"ENSG00000244716",105.324171913969,0.314940538303242,0.351575075291293,0.89579882203624,0.37036021914638,0.999853396577029
"ENSG00000254726",20.099017183281,0.182991085336331,0.40995286552634,0.446371036097987,0.655329251216221,0.999853396577029
"ENSG00000186160",2.20953320122209,0.389422370613862,1.19897874709366,0.324795057091568,0.745336185780017,NA
"ENSG00000226252",2.2330662770384,0.235157558179633,1.03451994767319,0.227310801216102,0.820182074771848,NA
"ENSG00000237424",6.45745121502249,0.178613836705446,0.804467723953449,0.222027349745832,0.824292592620936,0.999853396577029
"ENSG00000168275",41.4542445723777,0.144458401266697,0.523176783059714,0.276117759702287,0.782457620456217,0.999853396577029
"ENSG00000116678",45.6175059480662,0.421119350956752,0.546864648374973,0.77006138942812,0.441263477981203,0.999853396577029
"ENSG00000244038",133.853502029836,-0.0899248862809775,0.40808168462888,-0.22036001533065,0.825590783166974,0.999853396577029
