Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CONTROL_female_SRR26254262_1	94.10147875535844	45.0	99.71955810007447	100	18.181818181818183	34815575.0
CONTROL_female_SRR26254262_2	92.75905161666624	45.0	99.71955810007447	100	18.181818181818183	34815575.0
CONTROL_female_SRR26254419_1	91.92860700716969	45.0	99.31505323502776	100	18.181818181818183	30871497.0
CONTROL_female_SRR26254419_2	90.38518792823643	45.0	99.3280420447379	100	18.181818181818183	30871497.0
CONTROL_male_SRR26254102_1	76.05973325785519	45.0	99.57468547517576	100	18.181818181818183	30591544.0
CONTROL_male_SRR26254102_2	74.63994338174835	45.0	99.61727306081707	100	18.181818181818183	30591544.0
CONTROL_male_SRR26254264_1	95.37744244517805	45.0	99.60454900933594	100	18.181818181818183	36833778.0
CONTROL_male_SRR26254264_2	92.94273993387031	45.0	99.53624344480764	100	18.181818181818183	36833778.0
LBD_female_SRR26253954_1	91.33637905640978	45.0	99.50161404773574	100	18.181818181818183	30948589.0
LBD_female_SRR26253954_2	81.86834795972484	44.0	99.17964111384852	100	36.36363636363637	30948589.0
LBD_female_SRR26254010_1	95.03706321812982	45.0	99.15186148263794	100	18.181818181818183	29437234.0
LBD_female_SRR26254010_2	91.64838681902881	45.0	99.18538936097053	100	36.36363636363637	29437234.0
LBD_female_SRR26254070_1	95.5958792850327	45.0	99.53367255348692	100	18.181818181818183	28338332.0
LBD_female_SRR26254070_2	94.20416778402317	45.0	99.31870739604575	100	18.181818181818183	28338332.0
LBD_female_SRR26254144_1	82.43511511681805	46.0	99.46764220242208	100	18.181818181818183	27918881.0
LBD_female_SRR26254144_2	81.0231288688295	46.0	99.47796059591357	100	9.090909090909092	27918881.0
LBD_female_SRR26254284_1	88.08766215306308	46.0	99.60229351256389	100	18.181818181818183	32536120.0
LBD_female_SRR26254284_2	87.76601162552224	46.0	99.36542052340599	100	18.181818181818183	32536120.0
LBD_male_SRR26253870_1	96.26011825616335	46.0	99.80312134985581	100	18.181818181818183	33566311.0
LBD_male_SRR26253870_2	90.04809507367685	46.0	99.80312134985581	100	27.27272727272727	33566311.0
LBD_male_SRR26253979_1	73.01041659174321	46.0	99.61833277468526	100	18.181818181818183	31045186.0
LBD_male_SRR26253979_2	69.89398076663669	46.0	99.62280844443967	100	9.090909090909092	31045186.0
LBD_male_SRR26254115_1	88.58974848239741	45.0	99.53919365165085	100	18.181818181818183	34360807.0
LBD_male_SRR26254115_2	85.25721957592445	45.0	99.37523428946241	100	9.090909090909092	34360807.0
LBD_male_SRR26254278_1	87.16878936752552	46.0	99.58271555842886	100	18.181818181818183	34530916.0
LBD_male_SRR26254278_2	86.1463946195695	46.0	99.57682981824172	100	18.181818181818183	34530916.0
LBD_male_SRR26254409_1	87.520550514107	46.0	99.36309429703508	100	18.181818181818183	35825856.0
LBD_male_SRR26254409_2	86.86668460042024	45.0	99.372727339718	100	9.090909090909092	35825856.0
